seq_imag,name,imag_path,gtim_path,json_path,train_test_val
11,aachen_000047_000019,fullImages\aachen_000047_000019_leftImg8bit.png,fullImages\aachen_000047_000019_gtFine_labelIds.png,fullImages\aachen_000047_000019_gtFine_polygons.json,train
12,aachen_000050_000019,fullImages\aachen_000050_000019_leftImg8bit.png,fullImages\aachen_000050_000019_gtFine_labelIds.png,fullImages\aachen_000050_000019_gtFine_polygons.json,train
13,aachen_000054_000019,fullImages\aachen_000054_000019_leftImg8bit.png,fullImages\aachen_000054_000019_gtFine_labelIds.png,fullImages\aachen_000054_000019_gtFine_polygons.json,test
14,aachen_000057_000019,fullImages\aachen_000057_000019_leftImg8bit.png,fullImages\aachen_000057_000019_gtFine_labelIds.png,fullImages\aachen_000057_000019_gtFine_polygons.json,train
15,aachen_000061_000019,fullImages\aachen_000061_000019_leftImg8bit.png,fullImages\aachen_000061_000019_gtFine_labelIds.png,fullImages\aachen_000061_000019_gtFine_polygons.json,train
16,aachen_000065_000019,fullImages\aachen_000065_000019_leftImg8bit.png,fullImages\aachen_000065_000019_gtFine_labelIds.png,fullImages\aachen_000065_000019_gtFine_polygons.json,train
17,aachen_000069_000019,fullImages\aachen_000069_000019_leftImg8bit.png,fullImages\aachen_000069_000019_gtFine_labelIds.png,fullImages\aachen_000069_000019_gtFine_polygons.json,test
18,aachen_000071_000019,fullImages\aachen_000071_000019_leftImg8bit.png,fullImages\aachen_000071_000019_gtFine_labelIds.png,fullImages\aachen_000071_000019_gtFine_polygons.json,train
19,aachen_000072_000019,fullImages\aachen_000072_000019_leftImg8bit.png,fullImages\aachen_000072_000019_gtFine_labelIds.png,fullImages\aachen_000072_000019_gtFine_polygons.json,test
20,aachen_000074_000019,fullImages\aachen_000074_000019_leftImg8bit.png,fullImages\aachen_000074_000019_gtFine_labelIds.png,fullImages\aachen_000074_000019_gtFine_polygons.json,validation
21,aachen_000080_000019,fullImages\aachen_000080_000019_leftImg8bit.png,fullImages\aachen_000080_000019_gtFine_labelIds.png,fullImages\aachen_000080_000019_gtFine_polygons.json,train
22,aachen_000081_000019,fullImages\aachen_000081_000019_leftImg8bit.png,fullImages\aachen_000081_000019_gtFine_labelIds.png,fullImages\aachen_000081_000019_gtFine_polygons.json,train
23,aachen_000084_000019,fullImages\aachen_000084_000019_leftImg8bit.png,fullImages\aachen_000084_000019_gtFine_labelIds.png,fullImages\aachen_000084_000019_gtFine_polygons.json,train
24,aachen_000103_000019,fullImages\aachen_000103_000019_leftImg8bit.png,fullImages\aachen_000103_000019_gtFine_labelIds.png,fullImages\aachen_000103_000019_gtFine_polygons.json,train
25,aachen_000105_000019,fullImages\aachen_000105_000019_leftImg8bit.png,fullImages\aachen_000105_000019_gtFine_labelIds.png,fullImages\aachen_000105_000019_gtFine_polygons.json,train
26,aachen_000115_000019,fullImages\aachen_000115_000019_leftImg8bit.png,fullImages\aachen_000115_000019_gtFine_labelIds.png,fullImages\aachen_000115_000019_gtFine_polygons.json,train
27,aachen_000116_000019,fullImages\aachen_000116_000019_leftImg8bit.png,fullImages\aachen_000116_000019_gtFine_labelIds.png,fullImages\aachen_000116_000019_gtFine_polygons.json,test
28,aachen_000120_000019,fullImages\aachen_000120_000019_leftImg8bit.png,fullImages\aachen_000120_000019_gtFine_labelIds.png,fullImages\aachen_000120_000019_gtFine_polygons.json,train
29,aachen_000122_000019,fullImages\aachen_000122_000019_leftImg8bit.png,fullImages\aachen_000122_000019_gtFine_labelIds.png,fullImages\aachen_000122_000019_gtFine_polygons.json,train
30,aachen_000126_000019,fullImages\aachen_000126_000019_leftImg8bit.png,fullImages\aachen_000126_000019_gtFine_labelIds.png,fullImages\aachen_000126_000019_gtFine_polygons.json,train
31,aachen_000127_000019,fullImages\aachen_000127_000019_leftImg8bit.png,fullImages\aachen_000127_000019_gtFine_labelIds.png,fullImages\aachen_000127_000019_gtFine_polygons.json,train
32,aachen_000128_000019,fullImages\aachen_000128_000019_leftImg8bit.png,fullImages\aachen_000128_000019_gtFine_labelIds.png,fullImages\aachen_000128_000019_gtFine_polygons.json,train
33,aachen_000131_000019,fullImages\aachen_000131_000019_leftImg8bit.png,fullImages\aachen_000131_000019_gtFine_labelIds.png,fullImages\aachen_000131_000019_gtFine_polygons.json,train
34,aachen_000138_000019,fullImages\aachen_000138_000019_leftImg8bit.png,fullImages\aachen_000138_000019_gtFine_labelIds.png,fullImages\aachen_000138_000019_gtFine_polygons.json,train
35,aachen_000139_000019,fullImages\aachen_000139_000019_leftImg8bit.png,fullImages\aachen_000139_000019_gtFine_labelIds.png,fullImages\aachen_000139_000019_gtFine_polygons.json,train
36,aachen_000141_000019,fullImages\aachen_000141_000019_leftImg8bit.png,fullImages\aachen_000141_000019_gtFine_labelIds.png,fullImages\aachen_000141_000019_gtFine_polygons.json,train
37,aachen_000143_000019,fullImages\aachen_000143_000019_leftImg8bit.png,fullImages\aachen_000143_000019_gtFine_labelIds.png,fullImages\aachen_000143_000019_gtFine_polygons.json,train
38,aachen_000144_000019,fullImages\aachen_000144_000019_leftImg8bit.png,fullImages\aachen_000144_000019_gtFine_labelIds.png,fullImages\aachen_000144_000019_gtFine_polygons.json,test
39,aachen_000150_000019,fullImages\aachen_000150_000019_leftImg8bit.png,fullImages\aachen_000150_000019_gtFine_labelIds.png,fullImages\aachen_000150_000019_gtFine_polygons.json,train
40,aachen_000151_000019,fullImages\aachen_000151_000019_leftImg8bit.png,fullImages\aachen_000151_000019_gtFine_labelIds.png,fullImages\aachen_000151_000019_gtFine_polygons.json,train
41,aachen_000170_000019,fullImages\aachen_000170_000019_leftImg8bit.png,fullImages\aachen_000170_000019_gtFine_labelIds.png,fullImages\aachen_000170_000019_gtFine_polygons.json,train
42,aachen_000172_000019,fullImages\aachen_000172_000019_leftImg8bit.png,fullImages\aachen_000172_000019_gtFine_labelIds.png,fullImages\aachen_000172_000019_gtFine_polygons.json,train
43,bochum_000000_000313,fullImages\bochum_000000_000313_leftImg8bit.png,fullImages\bochum_000000_000313_gtFine_labelIds.png,fullImages\bochum_000000_000313_gtFine_polygons.json,train
44,bochum_000000_000885,fullImages\bochum_000000_000885_leftImg8bit.png,fullImages\bochum_000000_000885_gtFine_labelIds.png,fullImages\bochum_000000_000885_gtFine_polygons.json,train
45,bochum_000000_001097,fullImages\bochum_000000_001097_leftImg8bit.png,fullImages\bochum_000000_001097_gtFine_labelIds.png,fullImages\bochum_000000_001097_gtFine_polygons.json,train
46,bochum_000000_001828,fullImages\bochum_000000_001828_leftImg8bit.png,fullImages\bochum_000000_001828_gtFine_labelIds.png,fullImages\bochum_000000_001828_gtFine_polygons.json,train
47,bochum_000000_002562,fullImages\bochum_000000_002562_leftImg8bit.png,fullImages\bochum_000000_002562_gtFine_labelIds.png,fullImages\bochum_000000_002562_gtFine_polygons.json,train
48,bochum_000000_003005,fullImages\bochum_000000_003005_leftImg8bit.png,fullImages\bochum_000000_003005_gtFine_labelIds.png,fullImages\bochum_000000_003005_gtFine_polygons.json,train
49,bochum_000000_005537,fullImages\bochum_000000_005537_leftImg8bit.png,fullImages\bochum_000000_005537_gtFine_labelIds.png,fullImages\bochum_000000_005537_gtFine_polygons.json,train
50,bochum_000000_005936,fullImages\bochum_000000_005936_leftImg8bit.png,fullImages\bochum_000000_005936_gtFine_labelIds.png,fullImages\bochum_000000_005936_gtFine_polygons.json,train
51,bochum_000000_006026,fullImages\bochum_000000_006026_leftImg8bit.png,fullImages\bochum_000000_006026_gtFine_labelIds.png,fullImages\bochum_000000_006026_gtFine_polygons.json,train
52,bochum_000000_006484,fullImages\bochum_000000_006484_leftImg8bit.png,fullImages\bochum_000000_006484_gtFine_labelIds.png,fullImages\bochum_000000_006484_gtFine_polygons.json,validation
53,bochum_000000_006746,fullImages\bochum_000000_006746_leftImg8bit.png,fullImages\bochum_000000_006746_gtFine_labelIds.png,fullImages\bochum_000000_006746_gtFine_polygons.json,train
54,bochum_000000_007150,fullImages\bochum_000000_007150_leftImg8bit.png,fullImages\bochum_000000_007150_gtFine_labelIds.png,fullImages\bochum_000000_007150_gtFine_polygons.json,train
55,bochum_000000_007651,fullImages\bochum_000000_007651_leftImg8bit.png,fullImages\bochum_000000_007651_gtFine_labelIds.png,fullImages\bochum_000000_007651_gtFine_polygons.json,train
56,bochum_000000_007950,fullImages\bochum_000000_007950_leftImg8bit.png,fullImages\bochum_000000_007950_gtFine_labelIds.png,fullImages\bochum_000000_007950_gtFine_polygons.json,train
57,bochum_000000_008804,fullImages\bochum_000000_008804_leftImg8bit.png,fullImages\bochum_000000_008804_gtFine_labelIds.png,fullImages\bochum_000000_008804_gtFine_polygons.json,train
58,bochum_000000_009554,fullImages\bochum_000000_009554_leftImg8bit.png,fullImages\bochum_000000_009554_gtFine_labelIds.png,fullImages\bochum_000000_009554_gtFine_polygons.json,train
59,bochum_000000_009951,fullImages\bochum_000000_009951_leftImg8bit.png,fullImages\bochum_000000_009951_gtFine_labelIds.png,fullImages\bochum_000000_009951_gtFine_polygons.json,train
60,bochum_000000_010562,fullImages\bochum_000000_010562_leftImg8bit.png,fullImages\bochum_000000_010562_gtFine_labelIds.png,fullImages\bochum_000000_010562_gtFine_polygons.json,train
61,bochum_000000_013209,fullImages\bochum_000000_013209_leftImg8bit.png,fullImages\bochum_000000_013209_gtFine_labelIds.png,fullImages\bochum_000000_013209_gtFine_polygons.json,train
62,bochum_000000_013705,fullImages\bochum_000000_013705_leftImg8bit.png,fullImages\bochum_000000_013705_gtFine_labelIds.png,fullImages\bochum_000000_013705_gtFine_polygons.json,train
63,bochum_000000_015880,fullImages\bochum_000000_015880_leftImg8bit.png,fullImages\bochum_000000_015880_gtFine_labelIds.png,fullImages\bochum_000000_015880_gtFine_polygons.json,train
64,bochum_000000_016125,fullImages\bochum_000000_016125_leftImg8bit.png,fullImages\bochum_000000_016125_gtFine_labelIds.png,fullImages\bochum_000000_016125_gtFine_polygons.json,train
65,bochum_000000_017453,fullImages\bochum_000000_017453_leftImg8bit.png,fullImages\bochum_000000_017453_gtFine_labelIds.png,fullImages\bochum_000000_017453_gtFine_polygons.json,train
66,bochum_000000_019188,fullImages\bochum_000000_019188_leftImg8bit.png,fullImages\bochum_000000_019188_gtFine_labelIds.png,fullImages\bochum_000000_019188_gtFine_polygons.json,test
67,bochum_000000_020776,fullImages\bochum_000000_020776_leftImg8bit.png,fullImages\bochum_000000_020776_gtFine_labelIds.png,fullImages\bochum_000000_020776_gtFine_polygons.json,train
68,bochum_000000_021325,fullImages\bochum_000000_021325_leftImg8bit.png,fullImages\bochum_000000_021325_gtFine_labelIds.png,fullImages\bochum_000000_021325_gtFine_polygons.json,test
69,bochum_000000_021393,fullImages\bochum_000000_021393_leftImg8bit.png,fullImages\bochum_000000_021393_gtFine_labelIds.png,fullImages\bochum_000000_021393_gtFine_polygons.json,train
70,bochum_000000_021479,fullImages\bochum_000000_021479_leftImg8bit.png,fullImages\bochum_000000_021479_gtFine_labelIds.png,fullImages\bochum_000000_021479_gtFine_polygons.json,validation
71,bochum_000000_021606,fullImages\bochum_000000_021606_leftImg8bit.png,fullImages\bochum_000000_021606_gtFine_labelIds.png,fullImages\bochum_000000_021606_gtFine_polygons.json,train
72,bochum_000000_022210,fullImages\bochum_000000_022210_leftImg8bit.png,fullImages\bochum_000000_022210_gtFine_labelIds.png,fullImages\bochum_000000_022210_gtFine_polygons.json,validation
73,bochum_000000_022414,fullImages\bochum_000000_022414_leftImg8bit.png,fullImages\bochum_000000_022414_gtFine_labelIds.png,fullImages\bochum_000000_022414_gtFine_polygons.json,train
74,bochum_000000_024524,fullImages\bochum_000000_024524_leftImg8bit.png,fullImages\bochum_000000_024524_gtFine_labelIds.png,fullImages\bochum_000000_024524_gtFine_polygons.json,train
75,bochum_000000_024855,fullImages\bochum_000000_024855_leftImg8bit.png,fullImages\bochum_000000_024855_gtFine_labelIds.png,fullImages\bochum_000000_024855_gtFine_polygons.json,train
76,bochum_000000_027057,fullImages\bochum_000000_027057_leftImg8bit.png,fullImages\bochum_000000_027057_gtFine_labelIds.png,fullImages\bochum_000000_027057_gtFine_polygons.json,train
77,bochum_000000_030913,fullImages\bochum_000000_030913_leftImg8bit.png,fullImages\bochum_000000_030913_gtFine_labelIds.png,fullImages\bochum_000000_030913_gtFine_polygons.json,train
78,bochum_000000_033056,fullImages\bochum_000000_033056_leftImg8bit.png,fullImages\bochum_000000_033056_gtFine_labelIds.png,fullImages\bochum_000000_033056_gtFine_polygons.json,train
79,bochum_000000_034936,fullImages\bochum_000000_034936_leftImg8bit.png,fullImages\bochum_000000_034936_gtFine_labelIds.png,fullImages\bochum_000000_034936_gtFine_polygons.json,train
80,bochum_000000_037039,fullImages\bochum_000000_037039_leftImg8bit.png,fullImages\bochum_000000_037039_gtFine_labelIds.png,fullImages\bochum_000000_037039_gtFine_polygons.json,train
81,bochum_000000_037223,fullImages\bochum_000000_037223_leftImg8bit.png,fullImages\bochum_000000_037223_gtFine_labelIds.png,fullImages\bochum_000000_037223_gtFine_polygons.json,train
82,bochum_000000_038150,fullImages\bochum_000000_038150_leftImg8bit.png,fullImages\bochum_000000_038150_gtFine_labelIds.png,fullImages\bochum_000000_038150_gtFine_polygons.json,train
83,bremen_000003_000019,fullImages\bremen_000003_000019_leftImg8bit.png,fullImages\bremen_000003_000019_gtFine_labelIds.png,fullImages\bremen_000003_000019_gtFine_polygons.json,train
84,bremen_000004_000019,fullImages\bremen_000004_000019_leftImg8bit.png,fullImages\bremen_000004_000019_gtFine_labelIds.png,fullImages\bremen_000004_000019_gtFine_polygons.json,train
85,bremen_000007_000019,fullImages\bremen_000007_000019_leftImg8bit.png,fullImages\bremen_000007_000019_gtFine_labelIds.png,fullImages\bremen_000007_000019_gtFine_polygons.json,train
86,bremen_000015_000019,fullImages\bremen_000015_000019_leftImg8bit.png,fullImages\bremen_000015_000019_gtFine_labelIds.png,fullImages\bremen_000015_000019_gtFine_polygons.json,train
87,bremen_000017_000019,fullImages\bremen_000017_000019_leftImg8bit.png,fullImages\bremen_000017_000019_gtFine_labelIds.png,fullImages\bremen_000017_000019_gtFine_polygons.json,train
88,bremen_000021_000019,fullImages\bremen_000021_000019_leftImg8bit.png,fullImages\bremen_000021_000019_gtFine_labelIds.png,fullImages\bremen_000021_000019_gtFine_polygons.json,train
89,bremen_000026_000019,fullImages\bremen_000026_000019_leftImg8bit.png,fullImages\bremen_000026_000019_gtFine_labelIds.png,fullImages\bremen_000026_000019_gtFine_polygons.json,test
90,bremen_000029_000019,fullImages\bremen_000029_000019_leftImg8bit.png,fullImages\bremen_000029_000019_gtFine_labelIds.png,fullImages\bremen_000029_000019_gtFine_polygons.json,train
91,bremen_000031_000019,fullImages\bremen_000031_000019_leftImg8bit.png,fullImages\bremen_000031_000019_gtFine_labelIds.png,fullImages\bremen_000031_000019_gtFine_polygons.json,train
92,bremen_000032_000019,fullImages\bremen_000032_000019_leftImg8bit.png,fullImages\bremen_000032_000019_gtFine_labelIds.png,fullImages\bremen_000032_000019_gtFine_polygons.json,train
93,bremen_000033_000019,fullImages\bremen_000033_000019_leftImg8bit.png,fullImages\bremen_000033_000019_gtFine_labelIds.png,fullImages\bremen_000033_000019_gtFine_polygons.json,train
94,bremen_000034_000019,fullImages\bremen_000034_000019_leftImg8bit.png,fullImages\bremen_000034_000019_gtFine_labelIds.png,fullImages\bremen_000034_000019_gtFine_polygons.json,train
95,bremen_000039_000019,fullImages\bremen_000039_000019_leftImg8bit.png,fullImages\bremen_000039_000019_gtFine_labelIds.png,fullImages\bremen_000039_000019_gtFine_polygons.json,train
96,bremen_000040_000019,fullImages\bremen_000040_000019_leftImg8bit.png,fullImages\bremen_000040_000019_gtFine_labelIds.png,fullImages\bremen_000040_000019_gtFine_polygons.json,train
97,bremen_000041_000019,fullImages\bremen_000041_000019_leftImg8bit.png,fullImages\bremen_000041_000019_gtFine_labelIds.png,fullImages\bremen_000041_000019_gtFine_polygons.json,train
98,bremen_000044_000019,fullImages\bremen_000044_000019_leftImg8bit.png,fullImages\bremen_000044_000019_gtFine_labelIds.png,fullImages\bremen_000044_000019_gtFine_polygons.json,test
99,bremen_000049_000019,fullImages\bremen_000049_000019_leftImg8bit.png,fullImages\bremen_000049_000019_gtFine_labelIds.png,fullImages\bremen_000049_000019_gtFine_polygons.json,train
100,bremen_000051_000019,fullImages\bremen_000051_000019_leftImg8bit.png,fullImages\bremen_000051_000019_gtFine_labelIds.png,fullImages\bremen_000051_000019_gtFine_polygons.json,train
101,bremen_000052_000019,fullImages\bremen_000052_000019_leftImg8bit.png,fullImages\bremen_000052_000019_gtFine_labelIds.png,fullImages\bremen_000052_000019_gtFine_polygons.json,train
102,bremen_000059_000019,fullImages\bremen_000059_000019_leftImg8bit.png,fullImages\bremen_000059_000019_gtFine_labelIds.png,fullImages\bremen_000059_000019_gtFine_polygons.json,train
103,bremen_000066_000019,fullImages\bremen_000066_000019_leftImg8bit.png,fullImages\bremen_000066_000019_gtFine_labelIds.png,fullImages\bremen_000066_000019_gtFine_polygons.json,validation
104,bremen_000068_000019,fullImages\bremen_000068_000019_leftImg8bit.png,fullImages\bremen_000068_000019_gtFine_labelIds.png,fullImages\bremen_000068_000019_gtFine_polygons.json,train
105,bremen_000069_000019,fullImages\bremen_000069_000019_leftImg8bit.png,fullImages\bremen_000069_000019_gtFine_labelIds.png,fullImages\bremen_000069_000019_gtFine_polygons.json,train
106,bremen_000074_000019,fullImages\bremen_000074_000019_leftImg8bit.png,fullImages\bremen_000074_000019_gtFine_labelIds.png,fullImages\bremen_000074_000019_gtFine_polygons.json,train
107,bremen_000078_000019,fullImages\bremen_000078_000019_leftImg8bit.png,fullImages\bremen_000078_000019_gtFine_labelIds.png,fullImages\bremen_000078_000019_gtFine_polygons.json,train
108,bremen_000080_000019,fullImages\bremen_000080_000019_leftImg8bit.png,fullImages\bremen_000080_000019_gtFine_labelIds.png,fullImages\bremen_000080_000019_gtFine_polygons.json,train
109,bremen_000082_000019,fullImages\bremen_000082_000019_leftImg8bit.png,fullImages\bremen_000082_000019_gtFine_labelIds.png,fullImages\bremen_000082_000019_gtFine_polygons.json,validation
110,bremen_000084_000019,fullImages\bremen_000084_000019_leftImg8bit.png,fullImages\bremen_000084_000019_gtFine_labelIds.png,fullImages\bremen_000084_000019_gtFine_polygons.json,train
111,bremen_000086_000019,fullImages\bremen_000086_000019_leftImg8bit.png,fullImages\bremen_000086_000019_gtFine_labelIds.png,fullImages\bremen_000086_000019_gtFine_polygons.json,test
112,bremen_000089_000019,fullImages\bremen_000089_000019_leftImg8bit.png,fullImages\bremen_000089_000019_gtFine_labelIds.png,fullImages\bremen_000089_000019_gtFine_polygons.json,train
113,bremen_000090_000019,fullImages\bremen_000090_000019_leftImg8bit.png,fullImages\bremen_000090_000019_gtFine_labelIds.png,fullImages\bremen_000090_000019_gtFine_polygons.json,train
114,bremen_000094_000019,fullImages\bremen_000094_000019_leftImg8bit.png,fullImages\bremen_000094_000019_gtFine_labelIds.png,fullImages\bremen_000094_000019_gtFine_polygons.json,test
115,bremen_000100_000019,fullImages\bremen_000100_000019_leftImg8bit.png,fullImages\bremen_000100_000019_gtFine_labelIds.png,fullImages\bremen_000100_000019_gtFine_polygons.json,train
116,bremen_000101_000019,fullImages\bremen_000101_000019_leftImg8bit.png,fullImages\bremen_000101_000019_gtFine_labelIds.png,fullImages\bremen_000101_000019_gtFine_polygons.json,test
117,bremen_000106_000019,fullImages\bremen_000106_000019_leftImg8bit.png,fullImages\bremen_000106_000019_gtFine_labelIds.png,fullImages\bremen_000106_000019_gtFine_polygons.json,train
118,bremen_000116_000019,fullImages\bremen_000116_000019_leftImg8bit.png,fullImages\bremen_000116_000019_gtFine_labelIds.png,fullImages\bremen_000116_000019_gtFine_polygons.json,test
119,bremen_000117_000019,fullImages\bremen_000117_000019_leftImg8bit.png,fullImages\bremen_000117_000019_gtFine_labelIds.png,fullImages\bremen_000117_000019_gtFine_polygons.json,train
120,bremen_000120_000019,fullImages\bremen_000120_000019_leftImg8bit.png,fullImages\bremen_000120_000019_gtFine_labelIds.png,fullImages\bremen_000120_000019_gtFine_polygons.json,train
121,bremen_000121_000019,fullImages\bremen_000121_000019_leftImg8bit.png,fullImages\bremen_000121_000019_gtFine_labelIds.png,fullImages\bremen_000121_000019_gtFine_polygons.json,train
122,bremen_000128_000019,fullImages\bremen_000128_000019_leftImg8bit.png,fullImages\bremen_000128_000019_gtFine_labelIds.png,fullImages\bremen_000128_000019_gtFine_polygons.json,validation
123,bremen_000130_000019,fullImages\bremen_000130_000019_leftImg8bit.png,fullImages\bremen_000130_000019_gtFine_labelIds.png,fullImages\bremen_000130_000019_gtFine_polygons.json,train
124,bremen_000132_000019,fullImages\bremen_000132_000019_leftImg8bit.png,fullImages\bremen_000132_000019_gtFine_labelIds.png,fullImages\bremen_000132_000019_gtFine_polygons.json,train
125,bremen_000134_000019,fullImages\bremen_000134_000019_leftImg8bit.png,fullImages\bremen_000134_000019_gtFine_labelIds.png,fullImages\bremen_000134_000019_gtFine_polygons.json,train
126,bremen_000135_000019,fullImages\bremen_000135_000019_leftImg8bit.png,fullImages\bremen_000135_000019_gtFine_labelIds.png,fullImages\bremen_000135_000019_gtFine_polygons.json,train
127,bremen_000137_000019,fullImages\bremen_000137_000019_leftImg8bit.png,fullImages\bremen_000137_000019_gtFine_labelIds.png,fullImages\bremen_000137_000019_gtFine_polygons.json,train
128,bremen_000138_000019,fullImages\bremen_000138_000019_leftImg8bit.png,fullImages\bremen_000138_000019_gtFine_labelIds.png,fullImages\bremen_000138_000019_gtFine_polygons.json,train
129,bremen_000139_000019,fullImages\bremen_000139_000019_leftImg8bit.png,fullImages\bremen_000139_000019_gtFine_labelIds.png,fullImages\bremen_000139_000019_gtFine_polygons.json,train
130,bremen_000140_000019,fullImages\bremen_000140_000019_leftImg8bit.png,fullImages\bremen_000140_000019_gtFine_labelIds.png,fullImages\bremen_000140_000019_gtFine_polygons.json,train
131,bremen_000143_000019,fullImages\bremen_000143_000019_leftImg8bit.png,fullImages\bremen_000143_000019_gtFine_labelIds.png,fullImages\bremen_000143_000019_gtFine_polygons.json,train
132,bremen_000144_000019,fullImages\bremen_000144_000019_leftImg8bit.png,fullImages\bremen_000144_000019_gtFine_labelIds.png,fullImages\bremen_000144_000019_gtFine_polygons.json,train
133,bremen_000145_000019,fullImages\bremen_000145_000019_leftImg8bit.png,fullImages\bremen_000145_000019_gtFine_labelIds.png,fullImages\bremen_000145_000019_gtFine_polygons.json,train
134,bremen_000148_000019,fullImages\bremen_000148_000019_leftImg8bit.png,fullImages\bremen_000148_000019_gtFine_labelIds.png,fullImages\bremen_000148_000019_gtFine_polygons.json,train
135,bremen_000149_000019,fullImages\bremen_000149_000019_leftImg8bit.png,fullImages\bremen_000149_000019_gtFine_labelIds.png,fullImages\bremen_000149_000019_gtFine_polygons.json,train
136,bremen_000150_000019,fullImages\bremen_000150_000019_leftImg8bit.png,fullImages\bremen_000150_000019_gtFine_labelIds.png,fullImages\bremen_000150_000019_gtFine_polygons.json,train
137,bremen_000153_000019,fullImages\bremen_000153_000019_leftImg8bit.png,fullImages\bremen_000153_000019_gtFine_labelIds.png,fullImages\bremen_000153_000019_gtFine_polygons.json,train
138,bremen_000168_000019,fullImages\bremen_000168_000019_leftImg8bit.png,fullImages\bremen_000168_000019_gtFine_labelIds.png,fullImages\bremen_000168_000019_gtFine_polygons.json,train
139,bremen_000170_000019,fullImages\bremen_000170_000019_leftImg8bit.png,fullImages\bremen_000170_000019_gtFine_labelIds.png,fullImages\bremen_000170_000019_gtFine_polygons.json,train
140,bremen_000171_000019,fullImages\bremen_000171_000019_leftImg8bit.png,fullImages\bremen_000171_000019_gtFine_labelIds.png,fullImages\bremen_000171_000019_gtFine_polygons.json,test
141,bremen_000176_000019,fullImages\bremen_000176_000019_leftImg8bit.png,fullImages\bremen_000176_000019_gtFine_labelIds.png,fullImages\bremen_000176_000019_gtFine_polygons.json,train
142,bremen_000179_000019,fullImages\bremen_000179_000019_leftImg8bit.png,fullImages\bremen_000179_000019_gtFine_labelIds.png,fullImages\bremen_000179_000019_gtFine_polygons.json,train
143,bremen_000183_000019,fullImages\bremen_000183_000019_leftImg8bit.png,fullImages\bremen_000183_000019_gtFine_labelIds.png,fullImages\bremen_000183_000019_gtFine_polygons.json,test
144,bremen_000186_000019,fullImages\bremen_000186_000019_leftImg8bit.png,fullImages\bremen_000186_000019_gtFine_labelIds.png,fullImages\bremen_000186_000019_gtFine_polygons.json,test
145,bremen_000196_000019,fullImages\bremen_000196_000019_leftImg8bit.png,fullImages\bremen_000196_000019_gtFine_labelIds.png,fullImages\bremen_000196_000019_gtFine_polygons.json,train
146,bremen_000198_000019,fullImages\bremen_000198_000019_leftImg8bit.png,fullImages\bremen_000198_000019_gtFine_labelIds.png,fullImages\bremen_000198_000019_gtFine_polygons.json,train
147,bremen_000199_000019,fullImages\bremen_000199_000019_leftImg8bit.png,fullImages\bremen_000199_000019_gtFine_labelIds.png,fullImages\bremen_000199_000019_gtFine_polygons.json,test
148,bremen_000202_000019,fullImages\bremen_000202_000019_leftImg8bit.png,fullImages\bremen_000202_000019_gtFine_labelIds.png,fullImages\bremen_000202_000019_gtFine_polygons.json,train
149,bremen_000208_000019,fullImages\bremen_000208_000019_leftImg8bit.png,fullImages\bremen_000208_000019_gtFine_labelIds.png,fullImages\bremen_000208_000019_gtFine_polygons.json,validation
150,bremen_000210_000019,fullImages\bremen_000210_000019_leftImg8bit.png,fullImages\bremen_000210_000019_gtFine_labelIds.png,fullImages\bremen_000210_000019_gtFine_polygons.json,train
