seq,is_true,is_ignore,path,x0,x1,y0,y1,col
2,FALSE,FALSE,aachen_000011_000019_leftImg8bit_rF_42.png,378,410,466,562,r
3,FALSE,FALSE,aachen_000011_000019_leftImg8bit_gF_43.png,468,500,355,451,g
4,TRUE,FALSE,aachen_000011_000019_leftImg8bit_gT_44.png,847,879,247,343,g
5,FALSE,FALSE,aachen_000011_000019_leftImg8bit_gF_45.png,213,245,395,491,g
6,FALSE,FALSE,aachen_000011_000019_leftImg8bit_gF_46.png,971,1003,356,452,g
0,FALSE,FALSE,aachen_000012_000019_leftImg8bit_rF_47.png,939,971,393,489,r
1,FALSE,FALSE,aachen_000012_000019_leftImg8bit_rF_48.png,1009,1041,410,506,r
2,FALSE,FALSE,aachen_000012_000019_leftImg8bit_rF_49.png,1092,1124,411,507,r
3,FALSE,FALSE,aachen_000012_000019_leftImg8bit_rF_50.png,967,999,395,491,r
4,FALSE,FALSE,aachen_000012_000019_leftImg8bit_rF_51.png,735,767,402,498,r
5,FALSE,FALSE,aachen_000012_000019_leftImg8bit_gF_52.png,532,564,434,530,g
6,TRUE,FALSE,aachen_000012_000019_leftImg8bit_gT_53.png,820,852,312,408,g
7,FALSE,FALSE,aachen_000012_000019_leftImg8bit_gF_54.png,1085,1117,262,358,g
0,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_55.png,1149,1181,107,203,r
1,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_56.png,137,169,268,364,r
2,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_57.png,176,208,268,364,r
3,TRUE,FALSE,aachen_000013_000019_leftImg8bit_rT_58.png,1066,1098,338,434,r
4,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_59.png,158,190,277,373,r
5,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_60.png,199,231,271,367,r
6,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_61.png,188,220,272,368,r
7,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_62.png,209,241,275,371,r
8,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_63.png,230,262,277,373,r
9,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_64.png,179,211,277,373,r
10,FALSE,FALSE,aachen_000013_000019_leftImg8bit_rF_65.png,265,297,281,377,r
11,TRUE,FALSE,aachen_000013_000019_leftImg8bit_rT_66.png,1384,1416,334,430,r
12,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_67.png,1541,1573,-60,36,g
13,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_68.png,1649,1681,-14,82,g
14,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_69.png,1613,1645,95,191,g
15,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_70.png,1667,1699,38,134,g
16,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_71.png,1622,1654,56,152,g
17,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_72.png,1510,1542,-49,47,g
18,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_73.png,1244,1276,61,157,g
19,FALSE,FALSE,aachen_000013_000019_leftImg8bit_gF_74.png,1336,1368,-38,58,g
0,FALSE,FALSE,aachen_000014_000019_leftImg8bit_rF_75.png,1633,1665,467,563,r
1,FALSE,FALSE,aachen_000014_000019_leftImg8bit_gF_76.png,1190,1222,-58,38,g
0,FALSE,FALSE,aachen_000015_000019_leftImg8bit_rF_77.png,181,213,225,321,r
1,FALSE,FALSE,aachen_000015_000019_leftImg8bit_rF_78.png,1946,1978,280,376,r
2,FALSE,FALSE,aachen_000015_000019_leftImg8bit_rF_79.png,1265,1297,222,318,r
3,TRUE,FALSE,aachen_000015_000019_leftImg8bit_rT_80.png,839,871,274,370,r
4,FALSE,FALSE,aachen_000015_000019_leftImg8bit_rF_81.png,1959,1991,281,377,r
0,FALSE,FALSE,aachen_000016_000019_leftImg8bit_rF_82.png,915,947,422,518,r
1,FALSE,FALSE,aachen_000016_000019_leftImg8bit_rF_83.png,1006,1038,418,514,r
2,FALSE,FALSE,aachen_000016_000019_leftImg8bit_gF_84.png,90,122,254,350,g
3,FALSE,FALSE,aachen_000016_000019_leftImg8bit_gF_85.png,1247,1279,225,321,g
4,FALSE,FALSE,aachen_000016_000019_leftImg8bit_gF_86.png,1132,1164,79,175,g
5,TRUE,TRUE,aachen_000016_000019_leftImg8bit_gi_87.png,587,619,336,432,g
0,FALSE,FALSE,aachen_000017_000019_leftImg8bit_gF_88.png,16,48,39,135,g
1,FALSE,FALSE,aachen_000017_000019_leftImg8bit_gF_89.png,17,49,-18,78,g
2,FALSE,FALSE,aachen_000017_000019_leftImg8bit_gF_90.png,1150,1182,-60,36,g
0,FALSE,FALSE,aachen_000019_000019_leftImg8bit_gF_91.png,1609,1641,-8,88,g
0,FALSE,FALSE,aachen_000021_000019_leftImg8bit_rF_92.png,870,902,363,459,r
1,FALSE,FALSE,aachen_000021_000019_leftImg8bit_gF_93.png,351,383,193,289,g
0,FALSE,FALSE,aachen_000022_000019_leftImg8bit_rF_94.png,1106,1138,364,460,r
0,FALSE,FALSE,aachen_000023_000019_leftImg8bit_rF_95.png,1841,1873,6,102,r
1,FALSE,FALSE,aachen_000023_000019_leftImg8bit_rF_96.png,1935,1967,269,365,r
0,FALSE,FALSE,aachen_000025_000019_leftImg8bit_rF_97.png,1740,1772,420,516,r
1,TRUE,FALSE,aachen_000025_000019_leftImg8bit_rT_98.png,1638,1670,224,320,r
2,FALSE,FALSE,aachen_000025_000019_leftImg8bit_rF_99.png,1605,1637,418,514,r
3,FALSE,FALSE,aachen_000025_000019_leftImg8bit_rF_100.png,1683,1715,406,502,r
4,TRUE,FALSE,aachen_000025_000019_leftImg8bit_rT_101.png,1362,1394,338,434,r
5,TRUE,FALSE,aachen_000025_000019_leftImg8bit_gT_102.png,1862,1894,336,432,g
0,TRUE,FALSE,aachen_000026_000019_leftImg8bit_rT_103.png,919,951,269,365,r
1,FALSE,FALSE,aachen_000026_000019_leftImg8bit_rF_104.png,1274,1306,157,253,r
2,FALSE,FALSE,aachen_000026_000019_leftImg8bit_rF_105.png,1164,1196,397,493,r
3,FALSE,FALSE,aachen_000026_000019_leftImg8bit_rF_106.png,1144,1176,396,492,r
4,FALSE,FALSE,aachen_000026_000019_leftImg8bit_rF_107.png,999,1031,55,151,r
5,TRUE,FALSE,aachen_000026_000019_leftImg8bit_rT_108.png,1180,1212,263,359,r
6,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_109.png,930,962,-38,58,g
7,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_110.png,1027,1059,31,127,g
8,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_111.png,1211,1243,-45,51,g
9,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_112.png,977,1009,-42,54,g
10,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_113.png,985,1017,28,124,g
11,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_114.png,1518,1550,-41,55,g
12,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_115.png,885,917,57,153,g
13,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_116.png,1268,1300,68,164,g
14,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_117.png,1278,1310,34,130,g
15,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_118.png,1289,1321,98,194,g
16,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_119.png,855,887,38,134,g
17,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_120.png,1250,1282,141,237,g
18,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_121.png,1285,1317,35,131,g
19,FALSE,FALSE,aachen_000026_000019_leftImg8bit_gF_122.png,1359,1391,-51,45,g
0,FALSE,FALSE,aachen_000027_000019_leftImg8bit_gF_123.png,769,801,409,505,g
1,FALSE,FALSE,aachen_000027_000019_leftImg8bit_gF_124.png,1268,1300,140,236,g
0,TRUE,FALSE,aachen_000028_000019_leftImg8bit_rT_125.png,993,1025,361,457,r
1,FALSE,FALSE,aachen_000028_000019_leftImg8bit_rF_126.png,1038,1070,129,225,r
2,FALSE,FALSE,aachen_000028_000019_leftImg8bit_rF_127.png,935,967,413,509,r
3,FALSE,FALSE,aachen_000028_000019_leftImg8bit_rF_128.png,879,911,48,144,r
4,FALSE,FALSE,aachen_000028_000019_leftImg8bit_rF_129.png,966,998,412,508,r
5,TRUE,FALSE,aachen_000028_000019_leftImg8bit_rT_130.png,919,951,288,384,r
6,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_131.png,1101,1133,-46,50,g
7,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_132.png,1113,1145,91,187,g
8,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_133.png,1061,1093,123,219,g
9,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_134.png,1101,1133,78,174,g
10,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_135.png,1053,1085,94,190,g
11,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_136.png,1134,1166,117,213,g
12,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_137.png,1066,1098,44,140,g
13,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_138.png,1127,1159,-60,36,g
14,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_139.png,884,916,44,140,g
15,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_140.png,1173,1205,-9,87,g
16,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_141.png,1097,1129,90,186,g
17,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_142.png,1119,1151,-42,54,g
18,FALSE,FALSE,aachen_000028_000019_leftImg8bit_gF_143.png,1110,1142,82,178,g
0,FALSE,FALSE,aachen_000029_000019_leftImg8bit_rF_144.png,837,869,427,523,r
1,FALSE,FALSE,aachen_000029_000019_leftImg8bit_rF_145.png,818,850,430,526,r
2,FALSE,FALSE,aachen_000029_000019_leftImg8bit_rF_146.png,794,826,459,555,r
3,FALSE,FALSE,aachen_000029_000019_leftImg8bit_rF_147.png,716,748,459,555,r
4,TRUE,FALSE,aachen_000029_000019_leftImg8bit_rT_148.png,915,947,416,512,r
5,FALSE,FALSE,aachen_000029_000019_leftImg8bit_rF_149.png,865,897,430,526,r
6,FALSE,FALSE,aachen_000029_000019_leftImg8bit_gF_150.png,1639,1671,230,326,g
7,FALSE,FALSE,aachen_000029_000019_leftImg8bit_gF_151.png,646,678,213,309,g
8,FALSE,FALSE,aachen_000029_000019_leftImg8bit_gF_152.png,904,936,383,479,g
9,TRUE,FALSE,aachen_000029_000019_leftImg8bit_gT_153.png,1105,1137,355,451,g
0,FALSE,FALSE,aachen_000030_000019_leftImg8bit_rF_154.png,808,840,421,517,r
1,FALSE,FALSE,aachen_000030_000019_leftImg8bit_rF_155.png,1232,1264,353,449,r
2,FALSE,FALSE,aachen_000030_000019_leftImg8bit_rF_156.png,747,779,428,524,r
3,FALSE,FALSE,aachen_000030_000019_leftImg8bit_gF_157.png,688,720,414,510,g
0,FALSE,FALSE,aachen_000031_000019_leftImg8bit_gF_158.png,1890,1922,242,338,g
1,FALSE,FALSE,aachen_000031_000019_leftImg8bit_gF_159.png,494,526,143,239,g
2,FALSE,FALSE,aachen_000031_000019_leftImg8bit_gF_160.png,454,486,97,193,g
0,FALSE,FALSE,aachen_000032_000019_leftImg8bit_gF_161.png,973,1005,253,349,g
1,FALSE,FALSE,aachen_000032_000019_leftImg8bit_gF_162.png,1382,1414,-62,34,g
0,FALSE,FALSE,aachen_000033_000019_leftImg8bit_rF_163.png,994,1026,410,506,r
1,FALSE,FALSE,aachen_000033_000019_leftImg8bit_gF_164.png,1251,1283,-14,82,g
2,FALSE,FALSE,aachen_000033_000019_leftImg8bit_gF_165.png,1141,1173,-26,70,g
3,FALSE,FALSE,aachen_000033_000019_leftImg8bit_gF_166.png,1093,1125,-49,47,g
0,FALSE,FALSE,aachen_000034_000019_leftImg8bit_rF_167.png,1003,1035,411,507,r
1,FALSE,FALSE,aachen_000034_000019_leftImg8bit_rF_168.png,1099,1131,4,100,r
2,FALSE,FALSE,aachen_000034_000019_leftImg8bit_gF_169.png,1202,1234,36,132,g
3,FALSE,FALSE,aachen_000034_000019_leftImg8bit_gF_170.png,1195,1227,50,146,g
4,FALSE,FALSE,aachen_000034_000019_leftImg8bit_gF_171.png,1246,1278,386,482,g
5,FALSE,FALSE,aachen_000034_000019_leftImg8bit_gF_172.png,1119,1151,56,152,g
6,FALSE,FALSE,aachen_000034_000019_leftImg8bit_gF_173.png,1183,1215,49,145,g
0,FALSE,FALSE,aachen_000035_000019_leftImg8bit_rF_174.png,66,98,188,284,r
1,FALSE,FALSE,aachen_000035_000019_leftImg8bit_rF_175.png,1260,1292,210,306,r
2,FALSE,FALSE,aachen_000035_000019_leftImg8bit_rF_176.png,104,136,415,511,r
3,FALSE,FALSE,aachen_000035_000019_leftImg8bit_rF_177.png,161,193,413,509,r
4,TRUE,FALSE,aachen_000035_000019_leftImg8bit_rT_178.png,890,922,298,394,r
0,FALSE,FALSE,aachen_000036_000019_leftImg8bit_rF_179.png,327,359,422,518,r
1,FALSE,FALSE,aachen_000036_000019_leftImg8bit_gF_180.png,450,482,424,520,g
2,FALSE,FALSE,aachen_000036_000019_leftImg8bit_gF_181.png,435,467,-1,95,g
3,FALSE,FALSE,aachen_000036_000019_leftImg8bit_gF_182.png,205,237,407,503,g
4,FALSE,FALSE,aachen_000036_000019_leftImg8bit_gF_183.png,1178,1210,380,476,g
5,FALSE,FALSE,aachen_000036_000019_leftImg8bit_gF_184.png,1878,1910,331,427,g
0,FALSE,FALSE,aachen_000037_000019_leftImg8bit_gF_185.png,1356,1388,-15,81,g
0,FALSE,FALSE,aachen_000038_000019_leftImg8bit_gF_186.png,1123,1155,360,456,g
0,FALSE,FALSE,aachen_000039_000019_leftImg8bit_gF_187.png,817,849,288,384,g
0,FALSE,FALSE,aachen_000041_000019_leftImg8bit_rF_188.png,1040,1072,390,486,r
1,FALSE,FALSE,aachen_000041_000019_leftImg8bit_rF_189.png,888,920,21,117,r
2,FALSE,FALSE,aachen_000041_000019_leftImg8bit_rF_190.png,875,907,142,238,r
3,FALSE,FALSE,aachen_000041_000019_leftImg8bit_rF_191.png,732,764,-23,73,r
4,FALSE,FALSE,aachen_000041_000019_leftImg8bit_gF_192.png,893,925,43,139,g
5,FALSE,FALSE,aachen_000041_000019_leftImg8bit_gF_193.png,873,905,141,237,g
6,FALSE,FALSE,aachen_000041_000019_leftImg8bit_gF_194.png,50,82,33,129,g
7,FALSE,FALSE,aachen_000041_000019_leftImg8bit_gF_195.png,874,906,-8,88,g
8,FALSE,FALSE,aachen_000041_000019_leftImg8bit_gF_196.png,1534,1566,-23,73,g
9,FALSE,FALSE,aachen_000041_000019_leftImg8bit_gF_197.png,824,856,-62,34,g
10,FALSE,FALSE,aachen_000041_000019_leftImg8bit_gF_198.png,778,810,-9,87,g
0,FALSE,FALSE,aachen_000042_000019_leftImg8bit_rF_199.png,1090,1122,390,486,r
1,FALSE,FALSE,aachen_000042_000019_leftImg8bit_rF_200.png,794,826,152,248,r
2,FALSE,FALSE,aachen_000042_000019_leftImg8bit_rF_201.png,1028,1060,389,485,r
3,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_202.png,832,864,112,208,g
4,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_203.png,828,860,344,440,g
5,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_204.png,1237,1269,139,235,g
6,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_205.png,811,843,58,154,g
7,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_206.png,1271,1303,125,221,g
8,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_207.png,882,914,48,144,g
9,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_208.png,1116,1148,76,172,g
10,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_209.png,894,926,28,124,g
11,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_210.png,774,806,111,207,g
12,FALSE,FALSE,aachen_000042_000019_leftImg8bit_gF_211.png,1326,1358,70,166,g
0,FALSE,FALSE,aachen_000043_000019_leftImg8bit_rF_212.png,1197,1229,-28,68,r
1,FALSE,FALSE,aachen_000043_000019_leftImg8bit_rF_213.png,943,975,396,492,r
2,FALSE,FALSE,aachen_000043_000019_leftImg8bit_rF_214.png,827,859,378,474,r
3,FALSE,FALSE,aachen_000043_000019_leftImg8bit_rF_215.png,955,987,392,488,r
4,FALSE,FALSE,aachen_000043_000019_leftImg8bit_rF_216.png,158,190,465,561,r
5,FALSE,FALSE,aachen_000043_000019_leftImg8bit_gF_217.png,779,811,-60,36,g
6,FALSE,FALSE,aachen_000043_000019_leftImg8bit_gF_218.png,1224,1256,41,137,g
7,FALSE,FALSE,aachen_000043_000019_leftImg8bit_gF_219.png,970,1002,29,125,g
8,FALSE,FALSE,aachen_000043_000019_leftImg8bit_gF_220.png,1226,1258,49,145,g
9,FALSE,FALSE,aachen_000043_000019_leftImg8bit_gF_221.png,1340,1372,41,137,g
10,FALSE,FALSE,aachen_000043_000019_leftImg8bit_gF_222.png,784,816,16,112,g
0,TRUE,FALSE,aachen_000044_000019_leftImg8bit_rT_223.png,760,792,369,465,r
1,FALSE,FALSE,aachen_000044_000019_leftImg8bit_rF_224.png,673,705,422,518,r
2,FALSE,FALSE,aachen_000044_000019_leftImg8bit_gF_225.png,606,638,-47,49,g
3,FALSE,FALSE,aachen_000044_000019_leftImg8bit_gF_226.png,587,619,111,207,g
4,FALSE,FALSE,aachen_000044_000019_leftImg8bit_gF_227.png,1851,1883,-47,49,g
5,FALSE,FALSE,aachen_000044_000019_leftImg8bit_gF_228.png,629,661,171,267,g
6,FALSE,FALSE,aachen_000044_000019_leftImg8bit_gF_229.png,1924,1956,-43,53,g
7,FALSE,FALSE,aachen_000044_000019_leftImg8bit_gF_230.png,1813,1845,-2,94,g
0,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_231.png,1526,1558,-47,49,g
1,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_232.png,1004,1036,-26,70,g
2,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_233.png,1146,1178,169,265,g
3,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_234.png,551,583,58,154,g
4,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_235.png,538,570,93,189,g
5,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_236.png,757,789,20,116,g
6,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_237.png,575,607,45,141,g
7,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_238.png,748,780,-25,71,g
8,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_239.png,1134,1166,75,171,g
9,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_240.png,939,971,-25,71,g
10,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_241.png,1024,1056,-35,61,g
11,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_242.png,594,626,-50,46,g
12,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_243.png,669,701,-29,67,g
13,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_244.png,808,840,-40,56,g
14,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_245.png,554,586,-41,55,g
15,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_246.png,596,628,-37,59,g
16,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_247.png,587,619,75,171,g
17,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_248.png,738,770,-7,89,g
18,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_249.png,927,959,20,116,g
19,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_250.png,530,562,-36,60,g
20,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_251.png,746,778,4,100,g
21,FALSE,FALSE,aachen_000045_000019_leftImg8bit_gF_252.png,810,842,23,119,g
0,FALSE,FALSE,aachen_000046_000019_leftImg8bit_gF_253.png,1522,1554,424,520,g
0,FALSE,FALSE,aachen_000047_000019_leftImg8bit_gF_254.png,316,348,-31,65,g
1,FALSE,FALSE,aachen_000047_000019_leftImg8bit_gF_255.png,684,716,12,108,g
2,FALSE,FALSE,aachen_000047_000019_leftImg8bit_gF_256.png,376,408,358,454,g
3,FALSE,FALSE,aachen_000047_000019_leftImg8bit_gF_257.png,638,670,-7,89,g
4,FALSE,FALSE,aachen_000047_000019_leftImg8bit_gF_258.png,676,708,89,185,g
0,FALSE,FALSE,aachen_000048_000019_leftImg8bit_rF_259.png,1445,1477,104,200,r
1,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_260.png,1456,1488,141,237,g
2,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_261.png,1429,1461,-61,35,g
3,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_262.png,803,835,-46,50,g
4,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_263.png,1044,1076,-5,91,g
5,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_264.png,779,811,413,509,g
6,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_265.png,1126,1158,384,480,g
7,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_266.png,1435,1467,93,189,g
8,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_267.png,1396,1428,155,251,g
9,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_268.png,850,882,-40,56,g
10,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_269.png,1375,1407,144,240,g
11,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_270.png,1442,1474,146,242,g
12,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_271.png,1076,1108,-47,49,g
13,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_272.png,1046,1078,-58,38,g
14,FALSE,FALSE,aachen_000048_000019_leftImg8bit_gF_273.png,1425,1457,72,168,g
0,FALSE,FALSE,aachen_000049_000019_leftImg8bit_gF_274.png,1319,1351,69,165,g
1,FALSE,FALSE,aachen_000049_000019_leftImg8bit_gF_275.png,1296,1328,19,115,g
2,FALSE,FALSE,aachen_000049_000019_leftImg8bit_gF_276.png,1271,1303,155,251,g
3,FALSE,FALSE,aachen_000049_000019_leftImg8bit_gF_277.png,1337,1369,18,114,g
0,FALSE,FALSE,aachen_000050_000019_leftImg8bit_gF_278.png,906,938,-13,83,g
0,FALSE,FALSE,aachen_000051_000019_leftImg8bit_rF_279.png,327,359,381,477,r
1,TRUE,TRUE,aachen_000051_000019_leftImg8bit_ri_280.png,474,506,322,418,r
2,FALSE,FALSE,aachen_000051_000019_leftImg8bit_rF_281.png,400,432,387,483,r
0,FALSE,FALSE,aachen_000052_000019_leftImg8bit_rF_282.png,1017,1049,445,541,r
1,FALSE,FALSE,aachen_000052_000019_leftImg8bit_rF_283.png,924,956,446,542,r
2,FALSE,FALSE,aachen_000052_000019_leftImg8bit_rF_284.png,1025,1057,432,528,r
3,FALSE,FALSE,aachen_000052_000019_leftImg8bit_rF_285.png,747,779,456,552,r
4,FALSE,FALSE,aachen_000052_000019_leftImg8bit_rF_286.png,825,857,456,552,r
5,FALSE,FALSE,aachen_000052_000019_leftImg8bit_rF_287.png,916,948,433,529,r
6,FALSE,FALSE,aachen_000052_000019_leftImg8bit_gF_288.png,1581,1613,-23,73,g
